year;district_code;district_name;neighbourhood_code;neighbourhood_name;number
2022;8;Nou Barris;49;Canyelles;173
2022;8;Nou Barris;56;Vallbona;163
2022;8;Nou Barris;54;Torre Baró;162
2022;8;Nou Barris;56;Vallbona;156
2022;7;Horta-Guinardó;41;la Vall d'Hebron;154
2022;7;Horta-Guinardó;40;Montbau;146
2022;8;Nou Barris;54;Torre Baró;120
2022;9;Sant Andreu;58;Baró de Viver;120
2022;7;Horta-Guinardó;42;la Clota;113
2022;8;Nou Barris;54;Torre Baró;113
2022;9;Sant Andreu;58;Baró de Viver;96
2022;7;Horta-Guinardó;42;la Clota;94
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;92
2022;8;Nou Barris;47;Can Peguera;88
2022;8;Nou Barris;56;Vallbona;64
2022;8;Nou Barris;56;Vallbona;61
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;60
2022;8;Nou Barris;47;Can Peguera;46
2022;8;Nou Barris;56;Vallbona;46
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;43
2022;7;Horta-Guinardó;42;la Clota;34
2022;7;Horta-Guinardó;42;la Clota;25
2022;7;Horta-Guinardó;42;la Clota;15
