year;trimester;district_name;neighbourhood_name;average _rent;price
2021;2;Nou Barris;la Guineueta;average rent (euro/month);698.3
2021;2;Nou Barris;Canyelles;average rent (euro/month);673.8
2021;2;Nou Barris;les Roquetes;average rent (euro/month);608.7
2021;2;Nou Barris;Verdun;average rent (euro/month);648.9
2021;2;Nou Barris;la Prosperitat;average rent (euro/month);680.9
2021;2;Nou Barris;la Trinitat Nova;average rent (euro/month);598.6
2021;2;Nou Barris;Ciutat Meridiana;average rent (euro/month);488.1
2021;2;Sant Andreu;la Trinitat Vella;average rent (euro/month);592.4
2021;2;Sant Andreu;Baro de Viver;average rent (euro/month);447.5
2021;2;Sant Andreu;el Bon Pastor;average rent (euro/month);741.9
2021;2;Sant Andreu;Sant Andreu;average rent (euro/month);757.2
2021;2;Sant Andreu;la Sagrera;average rent (euro/month);737.4
2021;2;Sant Andreu;el Congres i els Indians;average rent (euro/month);791.3
2021;2;Sant Andreu;Navas;average rent (euro/month);827.2
2021;2;Sant Marti;el Camp de l'Arpa del Clot;average rent (euro/month);795.6
2021;2;Sant Marti;el Clot;average rent (euro/month);786.4
2021;2;Sant Marti;el Parc i la Llacuna del Poblenou;average rent (euro/month);911.1
2021;2;Sant Marti;la Vila Olimpica del Poblenou;average rent (euro/month);1248.6
2021;2;Sant Marti;el Poblenou;average rent (euro/month);912.4
2021;2;Sant Marti;Diagonal Mar i el Front Maritim del Poblenou;average rent (euro/month);948.3
2021;2;Sant Marti;el Besos i el Maresme;average rent (euro/month);700.8
2021;2;Sant Marti;Provencals del Poblenou;average rent (euro/month);884.8
2021;2;Sant Marti;Sant Martíide Provencals;average rent (euro/month);799.7
2021;2;Sant Marti;la Verneda i la Pau;average rent (euro/month);728.2
2021;2;Ciutat Vella;el Raval;average rent per surface (euro/m2);12. Sep
2021;2;Ciutat Vella;Gothic Quarter;average rent per surface (euro/m2);12. Jul
2021;2;Ciutat Vella;la Barceloneta;average rent per surface (euro/m2);15. Sep
2021;2;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;average rent per surface (euro/m2);13. Jun
2021;2;Eixample;Fort Pienc;average rent per surface (euro/m2);12. Jul
2021;2;Eixample;la Sagrada Familia;average rent per surface (euro/m2);13. Mai
2021;2;Eixample;la Dreta de l'Eixample;average rent per surface (euro/m2);13. Jan
