register_id;name;created;modified;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿99400175200;Sala del Mig;08.01.07 15:03;17.09.22 06:44;Terol;26;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29668E+16;4,58387E+15;4,14033E+16;2,15858E+16
﻿99400142206;La Puntual. Putxinel.lis de Barcelona;20.09.05 13:44;17.09.22 06:29;C Allada-Vermell;15;;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31548E+15;4,58202E+15;4,13868E+15;2,18128E+16
﻿92086010327;Teatre;22.04.86 00:00;03.03.21 22:15;C Santa Magdalena;12;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,292E+15;4,58392E+15;4,14037E+16;2,15298E+16
﻿96351192937;Teatre;16.12.96 00:00;17.09.22 05:27;Mercaders;32;;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31243E+15;4,58191E+15;4,13857E+15;2,17764E+16
﻿99400108472;Teatre;11.04.05 16:45;17.09.22 06:23;Rbla Badal;113;;16;la Bordeta;3;Sants-Montjuïc;8014;BARCELONA;4,27406E+16;4,58031E+15;4,13711E+15;2,13195E+16
﻿99180125327;Cinesa Diagonal *C. Lúdic Diagonal;29.06.99 00:00;20.07.21 10:46;Carrer de Santa Fe de Nou Mèxic;18;;26;Sant Gervasi - Galvany;5;Sarrià-Sant Gervasi;8017;Barcelona;4,27886E+15;4,58289E+15;4,13943E+15;2,13738E+16
﻿92086006167;Teatre;06.05.86 00:00;17.09.22 04:01;C Ganduxer;85;;24;les Tres Torres;5;Sarrià-Sant Gervasi;8022;BARCELONA;4,27575E+15;4,58352E+15;4,14E+16;2,13358E+16
﻿92086014636;Teatre Victòria;30.10.85 00:00;20.09.22 14:12;Av Paral.lel;65;;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,30531E+15;4,5807E+15;4,13748E+15;2,16926E+16
﻿92086010464;Teatre;23.04.86 00:00;17.09.22 04:13;C Torre d'en Damians;6;;15;Hostafrancs;3;Sants-Montjuïc;8014;BARCELONA;4,28472E+15;4,58081E+15;4,13756E+16;2,14463E+16
﻿92086002473;Teatre;15.04.88 00:00;17.09.22 03:51;C Rector Triadó;53;;15;Hostafrancs;3;Sants-Montjuïc;8014;BARCELONA;4,28356E+15;4,58106E+15;4,13779E+15;2,14322E+16
﻿92086000123;Teatre Grec;04.07.89 00:00;25.09.22 13:32;Pg Santa Madrona;36;;11;el Poble-sec;3;Sants-Montjuïc;8038;BARCELONA;4,29622E+16;4,57997E+15;4,13681E+15;2,15848E+15
﻿92086000139;Palau d'Esports **Tancat;09.10.89 00:00;01.04.22 14:13;C Guàrdia Urbana;7;;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,29288E+16;4,58033E+15;4,13714E+16;2,15445E+15
﻿92086000452;Sala de Cinema;28.04.86 00:00;17.09.22 03:44;Av Drassanes;14;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30879E+15;4,58092E+15;4,13769E+16;2,17341E+14
﻿75990119885;Jove Teatre Regina;18.09.96 00:00;17.09.22 03:04;C Sèneca;22;;31;la Vila de Gràcia;6;Gràcia;8006;BARCELONA;4,29459E+16;4,58316E+15;4,13969E+15;2,15617E+16
﻿159174943;Cinesa *La Maquinista;07.06.00 00:00;19.07.21 14:16;Carrer de Potosí;2;;59;el Bon Pastor;9;Sant Andreu;8030;Barcelona;4,33191E+14;4,58822E+15;4,14428E+15;2,20024E+15
﻿99400654904;Sala Clan Destino Mental;10.07.20 11:00;17.09.22 11:15;C Constitució;82;;16;la Bordeta;3;Sants-Montjuïc;8014;BARCELONA;4,27681E+15;4,58017E+14;4,13698E+15;2,13526E+15
﻿2086161222;Cinemes Renoir *Floridablanca;27.03.02 00:00;19.07.21 14:13;Carrer de Floridablanca;135;;10;Sant Antoni;2;Eixample;8011;Barcelona;4,29979E+16;4,58147E+15;4,13817E+14;2,16257E+15
﻿92086011802;Filmoteca de Catalunya;16.06.87 00:00;01.09.21 13:22;Plaça de Salvador Seguí;1;;1;el Raval;1;Ciutat Vella;8001;Barcelona;4,30682E+15;4,58112E+15;4,13786E+16;2,17103E+15
﻿92086003206;Teatre;26.06.85 00:00;17.09.22 03:53;C Astúries;83;;31;la Vila de Gràcia;6;Gràcia;8024;BARCELONA;4,29489E+15;4,58403E+15;4,14047E+15;2,15642E+16
﻿75990416212;Lluïsos de Gràcia;03.12.96 00:00;13.01.22 09:54;Plaça del Nord;7;;31;la Vila de Gràcia;6;Gràcia;8024;Barcelona;4,29421E+15;4,58432E+14;4,14073E+13;2,15557E+16
﻿92086010369;Teatre;22.04.86 00:00;17.09.22 04:12;C Ramon Batlle;2;;60;Sant Andreu;9;Sant Andreu;8030;BARCELONA;4,32296E+16;4,587E+15;4,14317E+16;2,18967E+16
﻿98197085714;Sala Tallers;16.07.98 00:00;17.09.22 05:41;Pl Arts;1;;5;el Fort Pienc;2;Eixample;8013;BARCELONA;4,31965E+15;4,58345E+15;4,13997E+16;2,18611E+16
