year;district_code;district_name;neighbourhood_code;neighbourhood_name;Sex;nationality;number
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Women;Apàtrides/No consta;2
2022;10;Sant Martí;70;el Besòs i el Maresme;Women;Apàtrides/No consta;0
2022;10;Sant Martí;71;Provençals del Poblenou;Women;Apàtrides/No consta;2
2022;10;Sant Martí;72;Sant Martí de Provençals;Women;Apàtrides/No consta;1
2022;10;Sant Martí;73;la Verneda i la Pau;Women;Apàtrides/No consta;1
2022;1;Ciutat Vella;1;el Raval;Men;Apàtrides/No consta;6
2022;1;Ciutat Vella;2;el Barri Gòtic;Men;Apàtrides/No consta;1
2022;1;Ciutat Vella;3;la Barceloneta;Men;Apàtrides/No consta;1
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Men;Apàtrides/No consta;6
2022;2;Eixample;5;el Fort Pienc;Men;Apàtrides/No consta;4
2022;2;Eixample;6;la Sagrada Família;Men;Apàtrides/No consta;0
